Product,Nicotine
VLN King,0.41
VLN Menthol King,0.41
Camel Blue King,17.2
Marlboro Gold King,15.9
Marlboro Menthol Gold King,16.6
Marlboro Red King,15.8
Marlboro Special Blend Gold King,15.9
Newport Menthol Green King,17.9
Camel 99 Blue,17.3
Camel 99 Full Flavor Bx,16.8
Camel Crush King,17.2
Camel Crush Menthol King,17.5
Camel Crush Menthol Silver King,17.0
Camel Full Flavor Filter King,17.3
Winston White King,16.1
Newport Menthol Smooth Select 100,17.8
Camel Turkish Blend Gold King,15.6
Camel Turkish Blend Jade Silver King,16.6
Camel Turkish Blend Royal Filter King,16.4
Camel Wides Red King,17.7
Eagle 20'S Red 100,17.3
Kool Blue King,16.8
Kool Green 100,17.1
Kool Menthol King,17.0
L&M 100,13.2
L&M 100 Menthol,17.5
L&M Blue 100,13.9
L&M Blue King,13.9
L&M Bold Menthol 100,17.7
L&M Full Flavor King,13.5
L&M Menthol King,18.6
Marlboro 72 Gold,16.8
Marlboro Menthol Blue King,17.8
Marlboro 72 Menthol Green,17.7
Marlboro 72 Red,15.7
Marlboro 72 Silver,20.2
Marlboro 83,16.4
Marlboro Black Menthol 100,16.6
Marlboro Black Menthol King,16.2
Marlboro Blend 27 King,16.0
Marlboro Edge King,16.2
Marlboro Gold 100,16.2
Marlboro Green (Menthol) King,16.9
Marlboro Menthol 100,17.3
Marlboro Menthol Gold 100,17.4
Marlboro Midnight Menthol King,16.4
Marlboro Nxt King,16.3
Marlboro Red 100,16.7
Marlboro Red Label 100,16.5
Marlboro Red Label King,16.4
Marlboro Silver 100,16.9
Marlboro Silver King,17.3
Marlboro Silver Menthol 100,17.1
Marlboro Silver Menthol King,16.9
Marlboro Smooth Menthol 100,17.7
Marlboro Smooth Menthol King,17.4
Marlboro Southern Cut King,16.4
Marlboro Special Blend Black 100,16.8
Marlboro Special Blend Black King,16.7
Marlboro Special Blend Black Menthol 100,16.3
Marlboro Special Blend Black Menthol King,16.9
Marlboro Special Blend Gold 100,17.0
Marlboro Special Blend Red 100,16.4
Marlboro Special Blend Red King,16.3
Maverick Full Flavor 100,15.2
Maverick Gold 100,15.5
Maverick Menthol 100,15.7
Misty 120 Blue,16.2
Misty 120 Menthol (Green),14.8
Natural American Spirit Blue King,21.9
Natural American Spirit Menthol Green King,24.3
Natural American Spirit Organic Mellow Gold King,29.3
Natural American Spirit Organic Turquoise King,28.9
Natural American Spirit Yellow Mellow King,22.6
Newport Menthol Gold 100,17.8
Newport Menthol Gold King,18.6
Newport Menthol Green 100,18.9
Newport Non-Menthol 100,18.8
Newport Non-Menthol King,18.3
Pall Mall Black Menthol 100,17.6
Pall Mall Blue 100,16.0
Pall Mall Blue King,16.3
Pall Mall Menthol 100,15.9
Pall Mall Menthol King,15.9
Pall Mall Orange 100,15.8
Pall Mall Orange 85,16.0
Pall Mall Red 100,16.1
Pall Mall Red King,16.0
Pall Mall White Menthol 100,18.5
Parliament White King,16.8
Pyramid Blue 100,15.8
Pyramid Red 100,17.2
Salem Green King,16.1
Salem Menthol Gold King,16.2
Salem Slim Menthol 100,15.9
USA Gold King,17.7
USA Gold Red 100,18.7
USA Gold Red King,18.1
Winston Gold 100,16.8
Winston Gold King,17.2
Winston Red 100,17.7
Winston Red King,17.2